,Variable,p_val
0,Pas1_FatiguePre,0.9126433601781613
1,Pas1_FatiguePost,0.8087921354109985
2,Pas1_Impact_Fatigue,0.3301560088090844
3,Pas1_TpsReacMoy_Total,0.20932942106642446
4,Pas1_TpsReacMoy_Haut,0.20932942106642446
5,Pas1_TpsReacMoy_Bas,0.13945347465349822
6,Pas1_TpsReacMoy_Gauche,0.4432963583745305
7,Pas1_TpsReacMoy_Droite,0.10184966488235932
8,Pas1_Ecart_gauche_droite,0.20932942106642446
9,Pas1_Ecart_Haut_Bas_,0.7112511595218524
10,Pas2_FatiguePre,0.4555689022838546
11,Pas2_FatiguePost,0.6922087033489505
12,Pas2_Impact_Fatigue,0.6380968169290131
13,Pas2_TpsReacMoy_Total,0.04773253288431615
14,Pas2_TpsReacMoy_Haut,0.04773253288431615
15,Pas2_TpsReacMoy_Bas,0.06629763547656965
16,Pas2_TpsReacMoy_Gauche,0.08228404018011398
17,Pas2_TpsReacMoy_Droite,0.11318816621727842
18,Pas2_Ecart_gauche_droite,0.10184966488235932
19,Pas2_Ecart_Haut_Bas_,0.18940967757102592
20,Pas1_0,0.40600584970983794
21,Pas1_6,0.5690431828955755
22,Pas1_12,0.524930946786105
23,Pas1_18,0.0915781944436709
24,Pas1_24,0.0915781944436709
25,Pas1_30,0.18940967757102592
26,Pas1_36,0.04273456656933023
27,Pas1_42,0.3386132867976578
28,Pas1_48,0.20932942106642446
29,Pas1_54,0.6626272662068449
30,Pas1_60,0.125689123257546
31,Pas1_66,0.40600584970983794
32,Pas1_72,0.4829648184013642
33,Pas1_78,0.18940967757102592
34,Pas1_84,0.10184966488235932
35,Pas1_90,0.3386132867976578
36,Pas1_96,0.6150599889366963
37,Pas1_102,0.04273456656933023
38,Pas1_108,0.04273456656933023
39,Pas1_114,0.6150599889366963
40,Pas1_120,0.899524203248716
41,Pas1_126,0.5690431828955755
42,Pas1_132,0.4829648184013642
43,Pas1_138,0.524930946786105
44,Pas1_144,0.18940967757102592
45,Pas1_150,0.3386132867976578
46,Pas1_156,0.18940967757102592
47,Pas1_162,0.11318816621727842
48,Pas1_168,0.8556951983876531
49,Pas1_174,0.18940967757102592
50,Pas1_180,0.15458730450476055
51,Pas1_186,0.9918630949153405
52,Pas1_192,0.3386132867976578
53,Pas1_198,0.10184966488235932
54,Pas1_204,0.10184966488235932
55,Pas1_210,0.13945347465349822
56,Pas1_216,0.4829648184013642
57,Pas1_222,0.07388325879671166
58,Pas1_228,0.9918630949153405
59,Pas1_234,0.40600584970983794
60,Pas1_240,0.6626272662068449
61,Pas1_246,0.3386132867976578
62,Pas1_252,0.23107823797582816
63,Pas1_258,0.76026539367929
64,Pas1_264,0.40600584970983794
65,Pas1_270,0.030577016627599058
66,Pas1_276,0.524930946786105
67,Pas1_282,0.9384480644498954
68,Pas1_288,0.4829648184013642
69,Pas1_294,0.76026539367929
70,Pas1_300,0.18940967757102592
71,Pas1_306,0.9701758952618885
72,Pas1_312,0.40600584970983794
73,Pas1_318,0.125689123257546
74,Pas1_324,0.3084410411840028
75,Pas1_330,0.76026539367929
76,Pas1_336,0.8087921354109986
77,Pas1_342,0.25477265448360537
78,Pas1_348,0.4829648184013642
79,Pas1_354,0.25477265448360537
80,Pas2_0,0.5690431828955755
81,Pas2_6,0.11318816621727842
82,Pas2_12,0.1712012567091382
83,Pas2_18,0.7112511595218524
84,Pas2_24,0.15458730450476055
85,Pas2_30,0.053286854458472775
86,Pas2_36,0.11318816621727842
87,Pas2_42,0.030577016627599058
88,Pas2_48,0.15458730450476055
89,Pas2_54,0.10184966488235932
90,Pas2_60,0.6626272662068449
91,Pas2_66,0.524930946786105
92,Pas2_72,0.4829648184013642
93,Pas2_78,0.28052522737901
94,Pas2_84,0.0915781944436709
95,Pas2_90,0.28052522737901
96,Pas2_96,0.11318816621727842
97,Pas2_102,0.0915781944436709
98,Pas2_108,0.04273456656933023
99,Pas2_114,0.053286854458472775
100,Pas2_120,0.8556951983876531
101,Pas2_126,0.08228404018011398
102,Pas2_132,0.32196360556697473
103,Pas2_138,0.053286854458472775
104,Pas2_144,0.053286854458472775
105,Pas2_150,0.15458730450476055
106,Pas2_156,0.6150599889366963
107,Pas2_162,0.23107823797582816
108,Pas2_168,0.3386132867976578
109,Pas2_174,0.4829648184013642
110,Pas2_180,0.18940967757102592
111,Pas2_186,0.1230475647854166
112,Pas2_192,0.06629763547656965
113,Pas2_198,0.76026539367929
114,Pas2_204,0.13945347465349822
115,Pas2_210,0.06629763547656965
116,Pas2_216,0.08228404018011398
117,Pas2_222,0.4829648184013642
118,Pas2_228,0.18940967757102592
119,Pas2_234,0.13945347465349822
120,Pas2_240,0.524930946786105
121,Pas2_246,0.8556951983876531
122,Pas2_252,0.11318816621727842
123,Pas2_258,0.04273456656933023
124,Pas2_264,0.07388325879671166
125,Pas2_270,0.06629763547656965
126,Pas2_276,0.027323561531110575
127,Pas2_282,0.18940967757102592
128,Pas2_288,0.125689123257546
129,Pas2_294,0.06629763547656965
130,Pas2_300,0.08228404018011398
131,Pas2_306,0.04273456656933023
132,Pas2_312,0.053286854458472775
133,Pas2_318,0.15458730450476055
134,Pas2_324,0.10184966488235932
135,Pas2_330,0.15458730450476055
136,Pas2_336,0.04273456656933023
137,Pas2_342,0.4829648184013642
138,Pas2_348,0.4432963583745305
139,Pas2_354,0.07388325879671166
